order_id,order_date,product_type,ingredients_cost,final_price,status,customer_notes,profit,profit_margin_pct
1001,2026-06-15 00:00:00,Laptop Pro 15-inch,1200.5,1800.0,Delivered,"Great laptop, fast delivery",599.5,33.30555555555556
1002,2026-06-16 00:00:00,Wireless Headphones,45.0,180.0,In Progress,Urgent delivery needed before trip,135.0,75.0
1003,2026-06-17 00:00:00,Smartphone 128GB,350.0,620.0,Pending,Please include screen protector,270.0,43.54838709677419
1004,2026-06-18 00:00:00,Mechanical Keyboard,90.0,180.0,Cancelled,Client changed mind on switches,90.0,50.0
1005,2026-06-19 00:00:00,Laptop Pro 15-inch,1200.0,1800.0,Delivered,Perfect for development work,600.0,33.33333333333333
1006,2026-06-20 00:00:00,Gaming Mouse,50.0,120.0,Delivered,Good tracking speed,70.0,58.333333333333336
1007,2026-06-21 00:00:00,4K Monitor,280.0,450.0,In Progress,"Rush order, needed for home office setup",170.0,37.77777777777778
1008,2026-06-22 00:00:00,Smartphone 128GB,360.0,640.0,Pending,Verify storage size before shipping,280.0,43.75
1009,2026-06-23 00:00:00,Laptop Pro 15-inch,1245.0,1850.0,Delivered,Requested extra RAM upgrade last minute,605.0,32.7027027027027
1010,2026-06-24 00:00:00,Bluetooth Speaker,55.0,120.0,Cancelled,"Client cancelled, bought locally instead",65.0,54.16666666666666
1011,2026-06-25 00:00:00,Wireless Headphones,48.0,185.0,Delivered,Excellent sound quality,137.0,74.05405405405405
1012,2026-06-26 00:00:00,Tablet 10-inch,195.0,350.0,In Progress,Include stylus pen,155.0,44.285714285714285
1013,2026-06-27 00:00:00,Smartwatch,85.0,270.0,Delivered,"Great build quality, repeat customer",185.0,68.51851851851852
1014,2026-06-28 00:00:00,Smartphone 128GB,355.0,630.0,Pending,Client confirmed pickup time 15:00,275.0,43.65079365079365
1015,2026-06-29 00:00:00,Gaming Mouse,52.0,125.0,Delivered,Included RGB lighting is perfect,73.0,58.4
1016,2026-06-30,Bluetooth Speaker,71.29,161.32,Delivered,Include receipt,,
1017,2026-07-01,Bluetooth Speaker,69.05,131.06,Delivered,Include receipt,,
1018,2026-07-01,Laptop Pro 15-inch,1210.9,1812.84,In Progress,Include receipt,,
1019,2026-07-02,Gaming Mouse,54.59,150.97,Delivered,Excellent quality,,
1020,2026-07-03,Wireless Headphones,41.64,224.71,Delivered,Fast shipping,,
1021,2026-07-03,Laptop Pro 15-inch,1215.2,1812.85,Delivered,Client requested changes,,
1022,2026-07-04,4K Monitor,275.53,472.75,Pending,,,
1023,2026-07-05,4K Monitor,284.33,469.52,Delivered,Standard delivery,,
1024,2026-07-05,Tablet 10-inch,198.03,368.65,Pending,Will buy again,,
1025,2026-07-05,Smartwatch,99.98,275.6,Delivered,Return requested,,
1026,2026-07-06,4K Monitor,276.73,465.35,Delivered,Standard delivery,,
1027,2026-07-07,Bluetooth Speaker,45.45,121.26,Delivered,Will buy again,,
